IATA,Countries,Cities,Type Point,Location
AEA, Kiribati,Abemama Atoll,"{'location': {'type': 'Point', 'coordinates': (121.96303738109711, 12.593292900000002)}}","{'location': {'type': 'Point', 'coordinates': (121.96303738109711, 12.593292900000002)}}"
AEB, China,Baise,"{'location': {'type': 'Point', 'coordinates': (173.8662431, 0.4077885)}}","{'location': {'type': 'Point', 'coordinates': (173.8662431, 0.4077885)}}"
AEH, Chad,Abeche,"{'location': {'type': 'Point', 'coordinates': (106.6148824, 23.9053605)}}","{'location': {'type': 'Point', 'coordinates': (106.6148824, 23.9053605)}}"
AEM, Rusia,Amgu,"{'location': {'type': 'Point', 'coordinates': (20.8283652, 13.8280295)}}","{'location': {'type': 'Point', 'coordinates': (20.8283652, 13.8280295)}}"
AEP, Argentina,Buenos Aires,"{'location': {'type': 'Point', 'coordinates': (137.67611833971867, 45.847066850000004)}}","{'location': {'type': 'Point', 'coordinates': (137.67611833971867, 45.847066850000004)}}"
AER, Rusia,Sochi,"{'location': {'type': 'Point', 'coordinates': (-58.4370894, -34.6075682)}}","{'location': {'type': 'Point', 'coordinates': (-58.4370894, -34.6075682)}}"
AES, Noruega,Alesund,"{'location': {'type': 'Point', 'coordinates': (39.723109, 43.5854823)}}","{'location': {'type': 'Point', 'coordinates': (39.723109, 43.5854823)}}"
AET, Estados Unidos,Allakaket,"{'location': {'type': 'Point', 'coordinates': (6.168828066313526, 62.76712545)}}","{'location': {'type': 'Point', 'coordinates': (6.168828066313526, 62.76712545)}}"
AEU, Corri,Abu Musa,"{'location': {'type': 'Point', 'coordinates': (-152.63774165217393, 66.563802)}}","{'location': {'type': 'Point', 'coordinates': (-152.63774165217393, 66.563802)}}"
AEX, Estados Unidos,Alexandria,"{'location': {'type': 'Point', 'coordinates': (55.03055914021888, 25.87779695)}}","{'location': {'type': 'Point', 'coordinates': (55.03055914021888, 25.87779695)}}"
AEY, Islandia,Akureyri,"{'location': {'type': 'Point', 'coordinates': (29.894378, 31.199004)}}","{'location': {'type': 'Point', 'coordinates': (29.894378, 31.199004)}}"
AFA, Argentina,San Rafael,"{'location': {'type': 'Point', 'coordinates': (-18.11217559813441, 65.68390355)}}","{'location': {'type': 'Point', 'coordinates': (-18.11217559813441, 65.68390355)}}"
AFL, Brasil,Alta Floresta,"{'location': {'type': 'Point', 'coordinates': (-122.5310874, 37.9735346)}}","{'location': {'type': 'Point', 'coordinates': (-122.5310874, 37.9735346)}}"
AFZ, Corri,Sabzevar,"{'location': {'type': 'Point', 'coordinates': (-56.0834993, -9.8698547)}}","{'location': {'type': 'Point', 'coordinates': (-56.0834993, -9.8698547)}}"
AGA, Marruecos,Agadir,"{'location': {'type': 'Point', 'coordinates': (57.6808799, 36.2134053)}}","{'location': {'type': 'Point', 'coordinates': (57.6808799, 36.2134053)}}"
AGB, Alemania,Munich,"{'location': {'type': 'Point', 'coordinates': (-9.5830626, 30.4211144)}}","{'location': {'type': 'Point', 'coordinates': (-9.5830626, 30.4211144)}}"
AGH, Suecia,Angelholm,"{'location': {'type': 'Point', 'coordinates': (11.5753822, 48.1371079)}}","{'location': {'type': 'Point', 'coordinates': (11.5753822, 48.1371079)}}"
AGM, Groenlandia,Tasiilaq,"{'location': {'type': 'Point', 'coordinates': (12.8619375, 56.2429224)}}","{'location': {'type': 'Point', 'coordinates': (12.8619375, 56.2429224)}}"
AGN, Estados Unidos,Angoon,"{'location': {'type': 'Point', 'coordinates': (-37.6378149, 65.6152573)}}","{'location': {'type': 'Point', 'coordinates': (-37.6378149, 65.6152573)}}"
AGP, Espana,Malaga,"{'location': {'type': 'Point', 'coordinates': (-134.5838889, 57.5033333)}}","{'location': {'type': 'Point', 'coordinates': (-134.5838889, 57.5033333)}}"
AGR, India,Agra,"{'location': {'type': 'Point', 'coordinates': (-4.4216366, 36.7213028)}}","{'location': {'type': 'Point', 'coordinates': (-4.4216366, 36.7213028)}}"
AGS, Estados Unidos,Augusta,"{'location': {'type': 'Point', 'coordinates': (78.0098161, 27.1752554)}}","{'location': {'type': 'Point', 'coordinates': (78.0098161, 27.1752554)}}"
AGU, Mexico,Aguascalientes,"{'location': {'type': 'Point', 'coordinates': (-81.9748429, 33.4709714)}}","{'location': {'type': 'Point', 'coordinates': (-81.9748429, 33.4709714)}}"
AGX, India,Isla Agatti,"{'location': {'type': 'Point', 'coordinates': (-102.5000001, 22.0000001)}}","{'location': {'type': 'Point', 'coordinates': (-102.5000001, 22.0000001)}}"
AHB, Arabia Saudita,Abha,"{'location': {'type': 'Point', 'coordinates': (72.18884683727894, 10.8476321)}}","{'location': {'type': 'Point', 'coordinates': (72.18884683727894, 10.8476321)}}"
AHE, Polinesia frances,Ahe,"{'location': {'type': 'Point', 'coordinates': (42.5043596, 18.2164282)}}","{'location': {'type': 'Point', 'coordinates': (42.5043596, 18.2164282)}}"
AHJ, China,Aba Hongyuan,"{'location': {'type': 'Point', 'coordinates': (-146.36986195071682, -14.492034)}}","{'location': {'type': 'Point', 'coordinates': (-146.36986195071682, -14.492034)}}"
AHO, Italia,Alguer,"{'location': {'type': 'Point', 'coordinates': (102.5414069, 32.7968003)}}","{'location': {'type': 'Point', 'coordinates': (102.5414069, 32.7968003)}}"
AHU, Marruecos,Alhucemas,"{'location': {'type': 'Point', 'coordinates': (8.3151473, 40.5600205)}}","{'location': {'type': 'Point', 'coordinates': (8.3151473, 40.5600205)}}"
AIA, Estados Unidos,Alliance,"{'location': {'type': 'Point', 'coordinates': (-3.930186, 35.245114)}}","{'location': {'type': 'Point', 'coordinates': (-3.930186, 35.245114)}}"
AIC, Islas Marshall,Airok,"{'location': {'type': 'Point', 'coordinates': (-102.8707145, 42.0971897)}}","{'location': {'type': 'Point', 'coordinates': (-102.8707145, 42.0971897)}}"
AIN, Estados Unidos,Wainwright,"{'location': {'type': 'Point', 'coordinates': (168.820906, 7.2788932)}}","{'location': {'type': 'Point', 'coordinates': (168.820906, 7.2788932)}}"
AIP, India,Jalandhar,"{'location': {'type': 'Point', 'coordinates': (-160.0383333, 70.6369444)}}","{'location': {'type': 'Point', 'coordinates': (-160.0383333, 70.6369444)}}"
AIR, Brasil,Aripuana,"{'location': {'type': 'Point', 'coordinates': (75.56805772253911, 31.29201065)}}","{'location': {'type': 'Point', 'coordinates': (75.56805772253911, 31.29201065)}}"
AIS, Kiribati,Arorae Island,"{'location': {'type': 'Point', 'coordinates': (-59.4439663, -10.175806)}}","{'location': {'type': 'Point', 'coordinates': (-59.4439663, -10.175806)}}"
AIT, Islas Cook,Aitutaki,"{'location': {'type': 'Point', 'coordinates': (176.8278696329911, -2.642353)}}","{'location': {'type': 'Point', 'coordinates': (176.8278696329911, -2.642353)}}"
AJA, Francia,Ajaccio,"{'location': {'type': 'Point', 'coordinates': (-159.78704173681447, -18.887564400000002)}}","{'location': {'type': 'Point', 'coordinates': (-159.78704173681447, -18.887564400000002)}}"
AJF, Arabia Saudita,Provincia de Yauf,"{'location': {'type': 'Point', 'coordinates': (8.7376029, 41.9263991)}}","{'location': {'type': 'Point', 'coordinates': (8.7376029, 41.9263991)}}"
AJI, pavo,Agr,"{'location': {'type': 'Point', 'coordinates': (39.5629883, 29.7673818)}}","{'location': {'type': 'Point', 'coordinates': (39.5629883, 29.7673818)}}"
AJL, India,Aizawl,"{'location': {'type': 'Point', 'coordinates': (20.3743665, 47.8989887)}}","{'location': {'type': 'Point', 'coordinates': (20.3743665, 47.8989887)}}"
AJN, Comoras,Anjouan,"{'location': {'type': 'Point', 'coordinates': (92.7382905, 23.7435236)}}","{'location': {'type': 'Point', 'coordinates': (92.7382905, 23.7435236)}}"
AJR, Suecia,Arvidsjaur,"{'location': {'type': 'Point', 'coordinates': (44.41070486098224, -12.226568050000001)}}","{'location': {'type': 'Point', 'coordinates': (44.41070486098224, -12.226568050000001)}}"
AJU, Brasil,Aracaju,"{'location': {'type': 'Point', 'coordinates': (19.25, 65.666667)}}","{'location': {'type': 'Point', 'coordinates': (19.25, 65.666667)}}"
AJY, Niger,Agadez,"{'location': {'type': 'Point', 'coordinates': (-37.0774655, -10.9162061)}}","{'location': {'type': 'Point', 'coordinates': (-37.0774655, -10.9162061)}}"
AKA, China,Ankang,"{'location': {'type': 'Point', 'coordinates': (7.990739, 16.972556)}}","{'location': {'type': 'Point', 'coordinates': (7.990739, 16.972556)}}"
AKF, Libia,Kufrah,"{'location': {'type': 'Point', 'coordinates': (108.9912989, 32.7165184)}}","{'location': {'type': 'Point', 'coordinates': (108.9912989, 32.7165184)}}"
AKI, Estados Unidos,Akiak,"{'location': {'type': 'Point', 'coordinates': (22.0840331, 23.3323776)}}","{'location': {'type': 'Point', 'coordinates': (22.0840331, 23.3323776)}}"
AKJ, Japon,Asahikawa,"{'location': {'type': 'Point', 'coordinates': (-161.2216995, 60.9117846)}}","{'location': {'type': 'Point', 'coordinates': (-161.2216995, 60.9117846)}}"
AKK, Estados Unidos,Akhiok,"{'location': {'type': 'Point', 'coordinates': (142.3579263, 43.7627501)}}","{'location': {'type': 'Point', 'coordinates': (142.3579263, 43.7627501)}}"
AKL, Nueva Zelanda,Auckland,"{'location': {'type': 'Point', 'coordinates': (-154.1724021, 56.9451811)}}","{'location': {'type': 'Point', 'coordinates': (-154.1724021, 56.9451811)}}"
AKN, Estados Unidos,King Salmon,"{'location': {'type': 'Point', 'coordinates': (174.7631803, -36.852095)}}","{'location': {'type': 'Point', 'coordinates': (174.7631803, -36.852095)}}"
AKP, Estados Unidos,Anaktuvuk Pass,"{'location': {'type': 'Point', 'coordinates': (-156.5192469940953, 58.7551615)}}","{'location': {'type': 'Point', 'coordinates': (-156.5192469940953, 58.7551615)}}"
AKR, Nigeria,Akure,"{'location': {'type': 'Point', 'coordinates': (-151.71568535164766, 68.15012875)}}","{'location': {'type': 'Point', 'coordinates': (-151.71568535164766, 68.15012875)}}"
AKS, Islas Salomon,Auki,"{'location': {'type': 'Point', 'coordinates': (-70.5264976, -9.0478679)}}","{'location': {'type': 'Point', 'coordinates': (-70.5264976, -9.0478679)}}"
AKU, China,Ciudad de Aksu,"{'location': {'type': 'Point', 'coordinates': (160.6992655, -8.7706074)}}","{'location': {'type': 'Point', 'coordinates': (160.6992655, -8.7706074)}}"
AKV, Canada,Akulivik,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
AKX, Kazajstan,Aktobe,"{'location': {'type': 'Point', 'coordinates': (-78.1902198, 60.8091489)}}","{'location': {'type': 'Point', 'coordinates': (-78.1902198, 60.8091489)}}"
AKY, Myanmar (Burma),Sittwe,"{'location': {'type': 'Point', 'coordinates': (57.2298651, 50.2836268)}}","{'location': {'type': 'Point', 'coordinates': (57.2298651, 50.2836268)}}"
ALA, Kazajstan,Almaty,"{'location': {'type': 'Point', 'coordinates': (92.9, 20.15)}}","{'location': {'type': 'Point', 'coordinates': (92.9, 20.15)}}"
ALB, Estados Unidos,Albany,"{'location': {'type': 'Point', 'coordinates': (76.9457275, 43.2363924)}}","{'location': {'type': 'Point', 'coordinates': (76.9457275, 43.2363924)}}"
ALC, Espana,Alicante,"{'location': {'type': 'Point', 'coordinates': (19.9999619, 41.000028)}}","{'location': {'type': 'Point', 'coordinates': (19.9999619, 41.000028)}}"
ALF, Noruega,Alta,"{'location': {'type': 'Point', 'coordinates': (-0.4881708, 38.3436365)}}","{'location': {'type': 'Point', 'coordinates': (-0.4881708, 38.3436365)}}"
ALG, Argelia,Argel,"{'location': {'type': 'Point', 'coordinates': (23.08254009804839, 70.04962755)}}","{'location': {'type': 'Point', 'coordinates': (23.08254009804839, 70.04962755)}}"
ALH, Australia,Albany,"{'location': {'type': 'Point', 'coordinates': (3.0601882, 36.7753606)}}","{'location': {'type': 'Point', 'coordinates': (3.0601882, 36.7753606)}}"
ALO, Estados Unidos,Waterloo,"{'location': {'type': 'Point', 'coordinates': (19.9999619, 41.000028)}}","{'location': {'type': 'Point', 'coordinates': (19.9999619, 41.000028)}}"
ALP, Siria,Aleppo,"{'location': {'type': 'Point', 'coordinates': (-92.3329637, 42.4979693)}}","{'location': {'type': 'Point', 'coordinates': (-92.3329637, 42.4979693)}}"
ALQ, Brasil,,"{'location': {'type': 'Point', 'coordinates': (37.1637253, 36.19924)}}","{'location': {'type': 'Point', 'coordinates': (37.1637253, 36.19924)}}"
ALS, Estados Unidos,Alamosa,"{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}","{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}"
ALW, Estados Unidos,Walla Walla,"{'location': {'type': 'Point', 'coordinates': (-105.7890452, 37.5780995)}}","{'location': {'type': 'Point', 'coordinates': (-105.7890452, 37.5780995)}}"
ALY, Egipto,Alexandria,"{'location': {'type': 'Point', 'coordinates': (-118.3393456, 46.0667277)}}","{'location': {'type': 'Point', 'coordinates': (-118.3393456, 46.0667277)}}"
ALZ, Estados Unidos,Lazy Bay,"{'location': {'type': 'Point', 'coordinates': (29.894378, 31.199004)}}","{'location': {'type': 'Point', 'coordinates': (29.894378, 31.199004)}}"
AMA, Estados Unidos,Amarillo,"{'location': {'type': 'Point', 'coordinates': (-57.74790688395895, 51.467112150000005)}}","{'location': {'type': 'Point', 'coordinates': (-57.74790688395895, 51.467112150000005)}}"
AMD, India,Ahmedabad,"{'location': {'type': 'Point', 'coordinates': (-101.8338246, 35.2072185)}}","{'location': {'type': 'Point', 'coordinates': (-101.8338246, 35.2072185)}}"
AMH, Etiopia,Arba Minch,"{'location': {'type': 'Point', 'coordinates': (72.5797068, 23.0216238)}}","{'location': {'type': 'Point', 'coordinates': (72.5797068, 23.0216238)}}"
AMM, Jordan,Aman,"{'location': {'type': 'Point', 'coordinates': (37.5539809, 6.0215142)}}","{'location': {'type': 'Point', 'coordinates': (37.5539809, 6.0215142)}}"
AMQ, Indonesia,Ambon,"{'location': {'type': 'Point', 'coordinates': (47.8915271, 16.3471243)}}","{'location': {'type': 'Point', 'coordinates': (47.8915271, 16.3471243)}}"
AMS, Paises Bajos,Amsterdam,"{'location': {'type': 'Point', 'coordinates': (-2.554524246013524, 47.55539425)}}","{'location': {'type': 'Point', 'coordinates': (-2.554524246013524, 47.55539425)}}"
ANA, Kenia,Masai Mara,"{'location': {'type': 'Point', 'coordinates': (4.8936041, 52.3727598)}}","{'location': {'type': 'Point', 'coordinates': (4.8936041, 52.3727598)}}"
ANC, Estados Unidos,Anchorage,"{'location': {'type': 'Point', 'coordinates': (9.6146919, 52.7515019)}}","{'location': {'type': 'Point', 'coordinates': (9.6146919, 52.7515019)}}"
ANF, Chile,Antofagasta,"{'location': {'type': 'Point', 'coordinates': (-149.894852, 61.2163129)}}","{'location': {'type': 'Point', 'coordinates': (-149.894852, 61.2163129)}}"
ANI, Estados Unidos,Aniak,"{'location': {'type': 'Point', 'coordinates': (-70.3980033, -23.6463741)}}","{'location': {'type': 'Point', 'coordinates': (-70.3980033, -23.6463741)}}"
ANR, Belgica,Bruselas,"{'location': {'type': 'Point', 'coordinates': (-159.5222222, 61.5783333)}}","{'location': {'type': 'Point', 'coordinates': (-159.5222222, 61.5783333)}}"
ANU, Antigua y Barbuda,Isla Antigua,"{'location': {'type': 'Point', 'coordinates': (4.351697, 50.8465573)}}","{'location': {'type': 'Point', 'coordinates': (4.351697, 50.8465573)}}"
ANV, Estados Unidos,Anvik,"{'location': {'type': 'Point', 'coordinates': (-61.79456028639201, 17.0855891)}}","{'location': {'type': 'Point', 'coordinates': (-61.79456028639201, 17.0855891)}}"
ANX, Noruega,Andenes,"{'location': {'type': 'Point', 'coordinates': (-160.2116540756542, 62.651504)}}","{'location': {'type': 'Point', 'coordinates': (-160.2116540756542, 62.651504)}}"
AOE, pavo,Eskisehir,"{'location': {'type': 'Point', 'coordinates': (16.13968094661204, 69.29132535)}}","{'location': {'type': 'Point', 'coordinates': (16.13968094661204, 69.29132535)}}"
AOG, China,Anshan,"{'location': {'type': 'Point', 'coordinates': (31.0723476, 39.6821156)}}","{'location': {'type': 'Point', 'coordinates': (31.0723476, 39.6821156)}}"
AOI, Italia,Ancona,"{'location': {'type': 'Point', 'coordinates': (122.9902689, 41.1075276)}}","{'location': {'type': 'Point', 'coordinates': (122.9902689, 41.1075276)}}"
AOJ, Japon,Aomori,"{'location': {'type': 'Point', 'coordinates': (13.218790609151764, 43.480120400000004)}}","{'location': {'type': 'Point', 'coordinates': (13.218790609151764, 43.480120400000004)}}"
AOK, Grecia,Karpathos,"{'location': {'type': 'Point', 'coordinates': (140.590121, 40.886943)}}","{'location': {'type': 'Point', 'coordinates': (140.590121, 40.886943)}}"
AOO, Estados Unidos,Altoona,"{'location': {'type': 'Point', 'coordinates': (27.11925668821135, 35.6136611)}}","{'location': {'type': 'Point', 'coordinates': (27.11925668821135, 35.6136611)}}"
AOQ, Groenlandia,Aappilattoq,"{'location': {'type': 'Point', 'coordinates': (-78.394736, 40.518681)}}","{'location': {'type': 'Point', 'coordinates': (-78.394736, 40.518681)}}"
AOR, Malasia,Alor Setar,"{'location': {'type': 'Point', 'coordinates': (-55.5979679, 72.8833228)}}","{'location': {'type': 'Point', 'coordinates': (-55.5979679, 72.8833228)}}"
AOS, Estados Unidos,Amook Bay,"{'location': {'type': 'Point', 'coordinates': (100.3683962, 6.1231908)}}","{'location': {'type': 'Point', 'coordinates': (100.3683962, 6.1231908)}}"
APK, Polinesia frances,Apataki,"{'location': {'type': 'Point', 'coordinates': (-153.82141007735112, 57.47243585)}}","{'location': {'type': 'Point', 'coordinates': (-153.82141007735112, 57.47243585)}}"
APL, Mozambique,Nampula,"{'location': {'type': 'Point', 'coordinates': (-146.27426619860103, -15.4323973)}}","{'location': {'type': 'Point', 'coordinates': (-146.27426619860103, -15.4323973)}}"
APN, Estados Unidos,Alpena,"{'location': {'type': 'Point', 'coordinates': (39.2707752, -14.966969)}}","{'location': {'type': 'Point', 'coordinates': (39.2707752, -14.966969)}}"
APO, Colombia,Apartado,"{'location': {'type': 'Point', 'coordinates': (-83.6670019, 45.0176181)}}","{'location': {'type': 'Point', 'coordinates': (-83.6670019, 45.0176181)}}"
APW, Samoa,Apia,"{'location': {'type': 'Point', 'coordinates': (-76.6227461, 7.8849011)}}","{'location': {'type': 'Point', 'coordinates': (-76.6227461, 7.8849011)}}"
AQG, China,Anqing,"{'location': {'type': 'Point', 'coordinates': (-171.7692793, -13.8343691)}}","{'location': {'type': 'Point', 'coordinates': (-171.7692793, -13.8343691)}}"
