IATA,Countries,Cities,Type Point,Location
KAN, Nigeria,Kano,"{'location': {'type': 'Point', 'coordinates': (-158.7254198, 64.3276089)}}","{'location': {'type': 'Point', 'coordinates': (-158.7254198, 64.3276089)}}"
KAO, Finlandia,Kuusamo,"{'location': {'type': 'Point', 'coordinates': (8.5364136, 11.8948389)}}","{'location': {'type': 'Point', 'coordinates': (8.5364136, 11.8948389)}}"
KAW, Myanmar (Burma),Kawthaung Township,"{'location': {'type': 'Point', 'coordinates': (29.1883283, 65.9645637)}}","{'location': {'type': 'Point', 'coordinates': (29.1883283, 65.9645637)}}"
KBC, Estados Unidos,Birch Creek,"{'location': {'type': 'Point', 'coordinates': (98.5520893, 9.9781142)}}","{'location': {'type': 'Point', 'coordinates': (98.5520893, 9.9781142)}}"
KBH, Tanzania,Kahama,"{'location': {'type': 'Point', 'coordinates': (-145.8555690295132, 66.27010200000001)}}","{'location': {'type': 'Point', 'coordinates': (-145.8555690295132, 66.27010200000001)}}"
KBK, India,,"{'location': {'type': 'Point', 'coordinates': (94.166667, 25.75)}}","{'location': {'type': 'Point', 'coordinates': (94.166667, 25.75)}}"
KBL, Afganistan,Kabul,"{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}","{'location': {'type': 'Point', 'coordinates': (11.0480288, 46.3144754)}}"
KBP, Ucrania,Kiev,"{'location': {'type': 'Point', 'coordinates': (69.1776838, 34.5260109)}}","{'location': {'type': 'Point', 'coordinates': (69.1776838, 34.5260109)}}"
KBR, Malasia,Kota Bharu,"{'location': {'type': 'Point', 'coordinates': (30.5241361, 50.4500336)}}","{'location': {'type': 'Point', 'coordinates': (30.5241361, 50.4500336)}}"
KBU, Indonesia,Kotabaru Regency,"{'location': {'type': 'Point', 'coordinates': (102.2399785, 6.12584)}}","{'location': {'type': 'Point', 'coordinates': (102.2399785, 6.12584)}}"
KBV, Tailandia,Krabi,"{'location': {'type': 'Point', 'coordinates': (116.2260644, -3.2405866)}}","{'location': {'type': 'Point', 'coordinates': (116.2260644, -3.2405866)}}"
KCA, China,Kuqa County,"{'location': {'type': 'Point', 'coordinates': (98.9161607, 8.0610907)}}","{'location': {'type': 'Point', 'coordinates': (98.9161607, 8.0610907)}}"
KCC, Estados Unidos,Coffman Cove,"{'location': {'type': 'Point', 'coordinates': (83.9183766, 41.8309946)}}","{'location': {'type': 'Point', 'coordinates': (83.9183766, 41.8309946)}}"
KCH, Malasia,Kuching,"{'location': {'type': 'Point', 'coordinates': (-132.8278899, 56.0139933)}}","{'location': {'type': 'Point', 'coordinates': (-132.8278899, 56.0139933)}}"
KCK, Rusia,Kirensk,"{'location': {'type': 'Point', 'coordinates': (110.3439862, 1.5574127)}}","{'location': {'type': 'Point', 'coordinates': (110.3439862, 1.5574127)}}"
KCM, pavo,Kahramanmaras,"{'location': {'type': 'Point', 'coordinates': (108.116295, 57.776356)}}","{'location': {'type': 'Point', 'coordinates': (108.116295, 57.776356)}}"
KCO, pavo,Kocaeli,"{'location': {'type': 'Point', 'coordinates': (36.830655, 37.7830345)}}","{'location': {'type': 'Point', 'coordinates': (36.830655, 37.7830345)}}"
KCT, Sri Lanka,Koggala,"{'location': {'type': 'Point', 'coordinates': (29.9262644, 40.7632288)}}","{'location': {'type': 'Point', 'coordinates': (29.9262644, 40.7632288)}}"
KCZ, Japon,Kochi,"{'location': {'type': 'Point', 'coordinates': (80.3226304, 5.9903676)}}","{'location': {'type': 'Point', 'coordinates': (80.3226304, 5.9903676)}}"
KDH, Afganistan,Kandahar,"{'location': {'type': 'Point', 'coordinates': (76.2673759, 9.9313695)}}","{'location': {'type': 'Point', 'coordinates': (76.2673759, 9.9313695)}}"
KDI, Indonesia,Kendari,"{'location': {'type': 'Point', 'coordinates': (65.7157573, 31.6205738)}}","{'location': {'type': 'Point', 'coordinates': (65.7157573, 31.6205738)}}"
KDL, Estonia,Kardla,"{'location': {'type': 'Point', 'coordinates': (122.5180066, -3.9918068)}}","{'location': {'type': 'Point', 'coordinates': (122.5180066, -3.9918068)}}"
KDU, Pakistan,Skardu,"{'location': {'type': 'Point', 'coordinates': (22.745928753411672, 58.99521045)}}","{'location': {'type': 'Point', 'coordinates': (22.745928753411672, 58.99521045)}}"
KDV, Fiji,Kadavu Island,"{'location': {'type': 'Point', 'coordinates': (75.6074375, 35.2875284)}}","{'location': {'type': 'Point', 'coordinates': (75.6074375, 35.2875284)}}"
KEB, Estados Unidos,Nanwalek,"{'location': {'type': 'Point', 'coordinates': (178.36293770239388, -19.04799405)}}","{'location': {'type': 'Point', 'coordinates': (178.36293770239388, -19.04799405)}}"
KEF, Islandia,Reikiavik,"{'location': {'type': 'Point', 'coordinates': (-151.91696684705283, 59.3308675)}}","{'location': {'type': 'Point', 'coordinates': (-151.91696684705283, 59.3308675)}}"
KEJ, Rusia,Kemerovo,"{'location': {'type': 'Point', 'coordinates': (-21.9422367, 64.145981)}}","{'location': {'type': 'Point', 'coordinates': (-21.9422367, 64.145981)}}"
KEK, Estados Unidos,Ekwok,"{'location': {'type': 'Point', 'coordinates': (86.0871213, 55.3550907)}}","{'location': {'type': 'Point', 'coordinates': (86.0871213, 55.3550907)}}"
KEM, Finlandia,Kemi,"{'location': {'type': 'Point', 'coordinates': (-157.4752778, 59.3497222)}}","{'location': {'type': 'Point', 'coordinates': (-157.4752778, 59.3497222)}}"
KEO, Costa de Marfil,Odienne,"{'location': {'type': 'Point', 'coordinates': (24.5666495, 65.7333404)}}","{'location': {'type': 'Point', 'coordinates': (24.5666495, 65.7333404)}}"
KEP, Nepal,Nepalgunj,"{'location': {'type': 'Point', 'coordinates': (-7.561942, 9.504431)}}","{'location': {'type': 'Point', 'coordinates': (-7.561942, 9.504431)}}"
KER, Corri,Kerman,"{'location': {'type': 'Point', 'coordinates': (81.64970639954868, 28.0653558)}}","{'location': {'type': 'Point', 'coordinates': (81.64970639954868, 28.0653558)}}"
KET, Myanmar (Burma),Kengtung,"{'location': {'type': 'Point', 'coordinates': (57.301047, 29.571858)}}","{'location': {'type': 'Point', 'coordinates': (57.301047, 29.571858)}}"
KEU, Kenia,Masai Mara,"{'location': {'type': 'Point', 'coordinates': (99.71225542974153, 21.56494035)}}","{'location': {'type': 'Point', 'coordinates': (99.71225542974153, 21.56494035)}}"
KEW, Canada,Keewaywin,"{'location': {'type': 'Point', 'coordinates': (9.6146919, 52.7515019)}}","{'location': {'type': 'Point', 'coordinates': (9.6146919, 52.7515019)}}"
KFS, pavo,Kastamonu,"{'location': {'type': 'Point', 'coordinates': (-92.798636, 53.0073811)}}","{'location': {'type': 'Point', 'coordinates': (-92.798636, 53.0073811)}}"
KGA, Republica Democratica del Congo,Kananga,"{'location': {'type': 'Point', 'coordinates': (33.7619177, 41.3680217)}}","{'location': {'type': 'Point', 'coordinates': (33.7619177, 41.3680217)}}"
KGC, Australia,Kingscote,"{'location': {'type': 'Point', 'coordinates': (22.408589, -5.8951725)}}","{'location': {'type': 'Point', 'coordinates': (22.408589, -5.8951725)}}"
KGD, Rusia,Kaliningrado,"{'location': {'type': 'Point', 'coordinates': (137.6367523, -35.6524847)}}","{'location': {'type': 'Point', 'coordinates': (137.6367523, -35.6524847)}}"
KGE, Islas Salomon,Kaghau Island,"{'location': {'type': 'Point', 'coordinates': (20.5105838, 54.710128)}}","{'location': {'type': 'Point', 'coordinates': (20.5105838, 54.710128)}}"
KGF, Kazajstan,Karaganda,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
KGI, Australia,Kalgoorlie,"{'location': {'type': 'Point', 'coordinates': (73.1026622, 49.8161282)}}","{'location': {'type': 'Point', 'coordinates': (73.1026622, 49.8161282)}}"
KGK, Estados Unidos,Koliganek,"{'location': {'type': 'Point', 'coordinates': (121.473223, -30.7464139)}}","{'location': {'type': 'Point', 'coordinates': (121.473223, -30.7464139)}}"
KGL, Ruanda,Kigali,"{'location': {'type': 'Point', 'coordinates': (-157.22306411040853, 59.6934295)}}","{'location': {'type': 'Point', 'coordinates': (-157.22306411040853, 59.6934295)}}"
KGP, Rusia,Kogalym,"{'location': {'type': 'Point', 'coordinates': (30.061507, -1.950851)}}","{'location': {'type': 'Point', 'coordinates': (30.061507, -1.950851)}}"
KGQ, Groenlandia,Kangersuatsiaq,"{'location': {'type': 'Point', 'coordinates': (74.4889068, 62.26798)}}","{'location': {'type': 'Point', 'coordinates': (74.4889068, 62.26798)}}"
KGS, Grecia,Isla de Cos,"{'location': {'type': 'Point', 'coordinates': (-55.550421, 72.3795211)}}","{'location': {'type': 'Point', 'coordinates': (-55.550421, 72.3795211)}}"
KGT, China,Kangding,"{'location': {'type': 'Point', 'coordinates': (2.3606346, 48.8566255)}}","{'location': {'type': 'Point', 'coordinates': (2.3606346, 48.8566255)}}"
KGX, Estados Unidos,Grayling,"{'location': {'type': 'Point', 'coordinates': (101.9548235, 30.0014182)}}","{'location': {'type': 'Point', 'coordinates': (101.9548235, 30.0014182)}}"
KHD, Corri,Khorramabad,"{'location': {'type': 'Point', 'coordinates': (-84.714637, 44.661517)}}","{'location': {'type': 'Point', 'coordinates': (-84.714637, 44.661517)}}"
KHE, Ucrania,Jerson,"{'location': {'type': 'Point', 'coordinates': (48.3538276, 33.4842109)}}","{'location': {'type': 'Point', 'coordinates': (48.3538276, 33.4842109)}}"
KHG, China,Kasgar,"{'location': {'type': 'Point', 'coordinates': (32.625794, 46.6412644)}}","{'location': {'type': 'Point', 'coordinates': (32.625794, 46.6412644)}}"
KHH, Taiwan,Kaohsiung,"{'location': {'type': 'Point', 'coordinates': (75.9874816, 39.4702981)}}","{'location': {'type': 'Point', 'coordinates': (75.9874816, 39.4702981)}}"
KHI, Pakistan,Karachi,"{'location': {'type': 'Point', 'coordinates': (120.3120375, 22.6203348)}}","{'location': {'type': 'Point', 'coordinates': (120.3120375, 22.6203348)}}"
KHK, Corri,Kharg,"{'location': {'type': 'Point', 'coordinates': (67.0207055, 24.8546842)}}","{'location': {'type': 'Point', 'coordinates': (67.0207055, 24.8546842)}}"
KHM, Myanmar (Burma),Khamti,"{'location': {'type': 'Point', 'coordinates': (50.31172927653904, 29.240594299999998)}}","{'location': {'type': 'Point', 'coordinates': (50.31172927653904, 29.240594299999998)}}"
KHN, China,Nanchang,"{'location': {'type': 'Point', 'coordinates': (95.67215487158401, 25.98555425)}}","{'location': {'type': 'Point', 'coordinates': (95.67215487158401, 25.98555425)}}"
KHQ, Groenlandia,Kullorsuaq,"{'location': {'type': 'Point', 'coordinates': (115.8540042, 28.687547)}}","{'location': {'type': 'Point', 'coordinates': (115.8540042, 28.687547)}}"
KHS, Oman,Jasab,"{'location': {'type': 'Point', 'coordinates': (-57.2198151, 74.5790583)}}","{'location': {'type': 'Point', 'coordinates': (-57.2198151, 74.5790583)}}"
KHV, Rusia,Jabarovsk,"{'location': {'type': 'Point', 'coordinates': (45.002995, 32.27259)}}","{'location': {'type': 'Point', 'coordinates': (45.002995, 32.27259)}}"
KHX, Uganda,Kihihi,"{'location': {'type': 'Point', 'coordinates': (135.076935, 48.481403)}}","{'location': {'type': 'Point', 'coordinates': (135.076935, 48.481403)}}"
KHY, Corri,Khoy,"{'location': {'type': 'Point', 'coordinates': (29.6998961, -0.7493074)}}","{'location': {'type': 'Point', 'coordinates': (29.6998961, -0.7493074)}}"
KHZ, Polinesia frances,Kauehi,"{'location': {'type': 'Point', 'coordinates': (44.95354, 38.5504343)}}","{'location': {'type': 'Point', 'coordinates': (44.95354, 38.5504343)}}"
KIE, Papua Nueva Guinea,Kieta,"{'location': {'type': 'Point', 'coordinates': (-145.1588206281073, -15.87021785)}}","{'location': {'type': 'Point', 'coordinates': (-145.1588206281073, -15.87021785)}}"
KIF, Canada,Kingfisher Lake,"{'location': {'type': 'Point', 'coordinates': (141.443687, 42.9997818)}}","{'location': {'type': 'Point', 'coordinates': (141.443687, 42.9997818)}}"
KIH, Corri,Kish Island,"{'location': {'type': 'Point', 'coordinates': (-91.03082577484835, 48.1164021)}}","{'location': {'type': 'Point', 'coordinates': (-91.03082577484835, 48.1164021)}}"
KIJ, Japon,Niigata,"{'location': {'type': 'Point', 'coordinates': (53.96876803996852, 26.53609175)}}","{'location': {'type': 'Point', 'coordinates': (53.96876803996852, 26.53609175)}}"
KIM, Sudafrica,Kimberley,"{'location': {'type': 'Point', 'coordinates': (138.7669125, 37.6452283)}}","{'location': {'type': 'Point', 'coordinates': (138.7669125, 37.6452283)}}"
KIN, Jamaica,Kingston,"{'location': {'type': 'Point', 'coordinates': (24.7642251, -28.7383012)}}","{'location': {'type': 'Point', 'coordinates': (24.7642251, -28.7383012)}}"
KIO, Islas Marshall,Kili Island,"{'location': {'type': 'Point', 'coordinates': (-76.7928128, 17.9712148)}}","{'location': {'type': 'Point', 'coordinates': (-76.7928128, 17.9712148)}}"
KIR, Irlanda,Condado de Kerry,"{'location': {'type': 'Point', 'coordinates': (14.520199, 13.368161)}}","{'location': {'type': 'Point', 'coordinates': (14.520199, 13.368161)}}"
KIS, Kenia,Kisumu,"{'location': {'type': 'Point', 'coordinates': (-80.69895407663819, 28.2565685)}}","{'location': {'type': 'Point', 'coordinates': (-80.69895407663819, 28.2565685)}}"
KIT, Grecia,Kythira,"{'location': {'type': 'Point', 'coordinates': (34.7541761, -0.1029109)}}","{'location': {'type': 'Point', 'coordinates': (34.7541761, -0.1029109)}}"
KIV, Moldavia,Chisinau,"{'location': {'type': 'Point', 'coordinates': (23.002435236230205, 36.258028800000005)}}","{'location': {'type': 'Point', 'coordinates': (23.002435236230205, 36.258028800000005)}}"
KIX, Japon,Osaka,"{'location': {'type': 'Point', 'coordinates': (28.8322923, 47.0245117)}}","{'location': {'type': 'Point', 'coordinates': (28.8322923, 47.0245117)}}"
KJA, Rusia,Krasnoyarsk,"{'location': {'type': 'Point', 'coordinates': (135.490357, 34.6198813)}}","{'location': {'type': 'Point', 'coordinates': (135.490357, 34.6198813)}}"
KJB, India,Kurnool,"{'location': {'type': 'Point', 'coordinates': (94.74286253730241, 66.62440655)}}","{'location': {'type': 'Point', 'coordinates': (94.74286253730241, 66.62440655)}}"
KJH, China,Huangping County,"{'location': {'type': 'Point', 'coordinates': (78.0425373, 15.8309251)}}","{'location': {'type': 'Point', 'coordinates': (78.0425373, 15.8309251)}}"
KJI, China,Burqin,"{'location': {'type': 'Point', 'coordinates': (104.123, 35.6743)}}","{'location': {'type': 'Point', 'coordinates': (104.123, 35.6743)}}"
KKA, Estados Unidos,Koyuk,"{'location': {'type': 'Point', 'coordinates': (86.872219, 47.7006173)}}","{'location': {'type': 'Point', 'coordinates': (86.872219, 47.7006173)}}"
KKB, Estados Unidos,Kitoi Bay,"{'location': {'type': 'Point', 'coordinates': (-161.1585269, 64.9327513)}}","{'location': {'type': 'Point', 'coordinates': (-161.1585269, 64.9327513)}}"
KKC, Tailandia,Khon Kaen,"{'location': {'type': 'Point', 'coordinates': (-152.3491667, 58.1933333)}}","{'location': {'type': 'Point', 'coordinates': (-152.3491667, 58.1933333)}}"
KKE, Nueva Zelanda,Kerikeri,"{'location': {'type': 'Point', 'coordinates': (102.6352933, 16.6022387)}}","{'location': {'type': 'Point', 'coordinates': (102.6352933, 16.6022387)}}"
KKH, Estados Unidos,Kongiganak,"{'location': {'type': 'Point', 'coordinates': (173.9529996, -35.2297666)}}","{'location': {'type': 'Point', 'coordinates': (173.9529996, -35.2297666)}}"
KKI, Estados Unidos,Akiachak,"{'location': {'type': 'Point', 'coordinates': (-162.8833074925156, 59.9587445)}}","{'location': {'type': 'Point', 'coordinates': (-162.8833074925156, 59.9587445)}}"
KKJ, Japon,Kitakyushu,"{'location': {'type': 'Point', 'coordinates': (-161.4028158743655, 60.920213000000004)}}","{'location': {'type': 'Point', 'coordinates': (-161.4028158743655, 60.920213000000004)}}"
KKN, Noruega,Kirkenes,"{'location': {'type': 'Point', 'coordinates': (130.8749015, 33.8829996)}}","{'location': {'type': 'Point', 'coordinates': (130.8749015, 33.8829996)}}"
KKR, Polinesia frances,Kaukura,"{'location': {'type': 'Point', 'coordinates': (30.0448971, 69.7271478)}}","{'location': {'type': 'Point', 'coordinates': (30.0448971, 69.7271478)}}"
KKS, Corri,Kashan,"{'location': {'type': 'Point', 'coordinates': (-146.70254961007055, -15.7794685)}}","{'location': {'type': 'Point', 'coordinates': (-146.70254961007055, -15.7794685)}}"
KKX, Japon,Kikaiga Shima,"{'location': {'type': 'Point', 'coordinates': (51.4428856, 33.9876533)}}","{'location': {'type': 'Point', 'coordinates': (51.4428856, 33.9876533)}}"
KLB, Zambia,Kalabo District,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
KLF, Rusia,Kaluga,"{'location': {'type': 'Point', 'coordinates': (22.7726360532484, -14.85795435)}}","{'location': {'type': 'Point', 'coordinates': (22.7726360532484, -14.85795435)}}"
KLG, Estados Unidos,Upper Kalskag,"{'location': {'type': 'Point', 'coordinates': (36.2598115, 54.5101087)}}","{'location': {'type': 'Point', 'coordinates': (36.2598115, 54.5101087)}}"
KLH, India,Kolhapur,"{'location': {'type': 'Point', 'coordinates': (-160.3149144, 61.5377005)}}","{'location': {'type': 'Point', 'coordinates': (-160.3149144, 61.5377005)}}"
KLN, Estados Unidos,Larsen Bay,"{'location': {'type': 'Point', 'coordinates': (74.2405329, 16.7028412)}}","{'location': {'type': 'Point', 'coordinates': (74.2405329, 16.7028412)}}"
KLO, Filipinas,Kalibo,"{'location': {'type': 'Point', 'coordinates': (-153.9787613, 57.5392341)}}","{'location': {'type': 'Point', 'coordinates': (-153.9787613, 57.5392341)}}"
KLR, Suecia,Kalmar,"{'location': {'type': 'Point', 'coordinates': (122.3640225, 11.7088966)}}","{'location': {'type': 'Point', 'coordinates': (122.3640225, 11.7088966)}}"
KLU, Austria,Klagenfurt,"{'location': {'type': 'Point', 'coordinates': (16.3662382, 56.6628826)}}","{'location': {'type': 'Point', 'coordinates': (16.3662382, 56.6628826)}}"
KLW, Estados Unidos,Klawock,"{'location': {'type': 'Point', 'coordinates': (14.3079604, 46.6228162)}}","{'location': {'type': 'Point', 'coordinates': (14.3079604, 46.6228162)}}"
KLX, Grecia,Kalamata,"{'location': {'type': 'Point', 'coordinates': (-133.0970585, 55.5523788)}}","{'location': {'type': 'Point', 'coordinates': (-133.0970585, 55.5523788)}}"
KME, Ruanda,Cyangugu,"{'location': {'type': 'Point', 'coordinates': (22.1109392, 37.0377582)}}","{'location': {'type': 'Point', 'coordinates': (22.1109392, 37.0377582)}}"
KMG, China,Kunming,"{'location': {'type': 'Point', 'coordinates': (28.8958127, -2.4887775)}}","{'location': {'type': 'Point', 'coordinates': (28.8958127, -2.4887775)}}"
KMI, Japon,Miyazaki,"{'location': {'type': 'Point', 'coordinates': (102.8324209, 24.8843019)}}","{'location': {'type': 'Point', 'coordinates': (102.8324209, 24.8843019)}}"
KMJ, Japon,Kumamoto,"{'location': {'type': 'Point', 'coordinates': (131.4204022, 31.9076334)}}","{'location': {'type': 'Point', 'coordinates': (131.4204022, 31.9076334)}}"
KMO, Estados Unidos,Manokotak,"{'location': {'type': 'Point', 'coordinates': (130.6341345, 32.6450475)}}","{'location': {'type': 'Point', 'coordinates': (130.6341345, 32.6450475)}}"
KMQ, Japon,Komatsu,"{'location': {'type': 'Point', 'coordinates': (-159.0583333, 58.9813889)}}","{'location': {'type': 'Point', 'coordinates': (-159.0583333, 58.9813889)}}"
KMS, Ghana,Kumasi,"{'location': {'type': 'Point', 'coordinates': (136.4495465, 36.4032931)}}","{'location': {'type': 'Point', 'coordinates': (136.4495465, 36.4032931)}}"
KMU, Somalia,Kismayo,"{'location': {'type': 'Point', 'coordinates': (-1.6230404, 6.698081)}}","{'location': {'type': 'Point', 'coordinates': (-1.6230404, 6.698081)}}"
KMV, Myanmar (Burma),Kalay,"{'location': {'type': 'Point', 'coordinates': (41.98535810773194, -0.52111695)}}","{'location': {'type': 'Point', 'coordinates': (41.98535810773194, -0.52111695)}}"
KMY, Estados Unidos,Moser Bay,"{'location': {'type': 'Point', 'coordinates': (94.44428280361797, 22.95318855)}}","{'location': {'type': 'Point', 'coordinates': (94.44428280361797, 22.95318855)}}"
KND, Republica Democratica del Congo,Kindu,"{'location': {'type': 'Point', 'coordinates': (-131.6633333, 55.5625)}}","{'location': {'type': 'Point', 'coordinates': (-131.6633333, 55.5625)}}"
KNG, Indonesia,Kaimana,"{'location': {'type': 'Point', 'coordinates': (25.83094812071026, -2.3926675499999996)}}","{'location': {'type': 'Point', 'coordinates': (25.83094812071026, -2.3926675499999996)}}"
KNH, Taiwan,Kinmen,"{'location': {'type': 'Point', 'coordinates': (133.7619247, -3.6642872)}}","{'location': {'type': 'Point', 'coordinates': (133.7619247, -3.6642872)}}"
KNK, Estados Unidos,Kakhonak,"{'location': {'type': 'Point', 'coordinates': (118.3856331, 24.4480637)}}","{'location': {'type': 'Point', 'coordinates': (118.3856331, 24.4480637)}}"
KNO, Indonesia,Medan,"{'location': {'type': 'Point', 'coordinates': (-154.20450328258931, 59.4928606)}}","{'location': {'type': 'Point', 'coordinates': (-154.20450328258931, 59.4928606)}}"
KNQ, Nueva Caledonia,Kone,"{'location': {'type': 'Point', 'coordinates': (98.6738261, 3.5896654)}}","{'location': {'type': 'Point', 'coordinates': (98.6738261, 3.5896654)}}"
KNS, Australia,Isla King,"{'location': {'type': 'Point', 'coordinates': (39.698213, 8.8433652)}}","{'location': {'type': 'Point', 'coordinates': (39.698213, 8.8433652)}}"
KNU, India,Kanpur,"{'location': {'type': 'Point', 'coordinates': (-74.63959544428559, -52.3683922)}}","{'location': {'type': 'Point', 'coordinates': (-74.63959544428559, -52.3683922)}}"
KNW, Estados Unidos,New Stuyahok,"{'location': {'type': 'Point', 'coordinates': (80.3217588, 26.4609135)}}","{'location': {'type': 'Point', 'coordinates': (80.3217588, 26.4609135)}}"
KNX, Australia,Kununurra,"{'location': {'type': 'Point', 'coordinates': (-157.3118615, 59.4506074)}}","{'location': {'type': 'Point', 'coordinates': (-157.3118615, 59.4506074)}}"
KOA, Estados Unidos,Kailua,"{'location': {'type': 'Point', 'coordinates': (128.738839, -15.7730916)}}","{'location': {'type': 'Point', 'coordinates': (128.738839, -15.7730916)}}"
KOC, Nueva Caledonia,Koumac,"{'location': {'type': 'Point', 'coordinates': (-157.72989134661873, 21.394833)}}","{'location': {'type': 'Point', 'coordinates': (-157.72989134661873, 21.394833)}}"
KOE, Indonesia,Kupang,"{'location': {'type': 'Point', 'coordinates': (164.2811715, -20.5613596)}}","{'location': {'type': 'Point', 'coordinates': (164.2811715, -20.5613596)}}"
KOI, Reino Unido,Kirkwall,"{'location': {'type': 'Point', 'coordinates': (123.6017755, -10.1632209)}}","{'location': {'type': 'Point', 'coordinates': (123.6017755, -10.1632209)}}"
KOJ, Japon,Kagoshima,"{'location': {'type': 'Point', 'coordinates': (-2.960369, 58.9816049)}}","{'location': {'type': 'Point', 'coordinates': (-2.960369, 58.9816049)}}"
KOK, Finlandia,Kokkola,"{'location': {'type': 'Point', 'coordinates': (130.543387, 31.5841689)}}","{'location': {'type': 'Point', 'coordinates': (130.543387, 31.5841689)}}"
KOP, Tailandia,Provincia de Nakhon Phanom,"{'location': {'type': 'Point', 'coordinates': (23.1336845, 63.8391421)}}","{'location': {'type': 'Point', 'coordinates': (23.1336845, 63.8391421)}}"
KOS, Camboya,Ciudad de Sihanoukville,"{'location': {'type': 'Point', 'coordinates': (104.7354883, 17.4870385)}}","{'location': {'type': 'Point', 'coordinates': (104.7354883, 17.4870385)}}"
KOV, Kazajstan,Kokshetau,"{'location': {'type': 'Point', 'coordinates': (103.5223365, 10.6220485)}}","{'location': {'type': 'Point', 'coordinates': (103.5223365, 10.6220485)}}"
KOW, China,Ganzhou,"{'location': {'type': 'Point', 'coordinates': (69.3814676, 53.2852054)}}","{'location': {'type': 'Point', 'coordinates': (69.3814676, 53.2852054)}}"
KOY, Estados Unidos,Olga Bay,"{'location': {'type': 'Point', 'coordinates': (114.9287362, 25.8332103)}}","{'location': {'type': 'Point', 'coordinates': (114.9287362, 25.8332103)}}"
KOZ, Estados Unidos,Ouzinkie,"{'location': {'type': 'Point', 'coordinates': (-154.39649437793167, 57.105539699999994)}}","{'location': {'type': 'Point', 'coordinates': (-154.39649437793167, 57.105539699999994)}}"
KPB, Estados Unidos,Point Baker,"{'location': {'type': 'Point', 'coordinates': (-152.5022222, 57.9236111)}}","{'location': {'type': 'Point', 'coordinates': (-152.5022222, 57.9236111)}}"
KPN, Estados Unidos,Kipnuk,"{'location': {'type': 'Point', 'coordinates': (-133.61712828488373, 56.348844)}}","{'location': {'type': 'Point', 'coordinates': (-133.61712828488373, 56.348844)}}"
KPO, Corea del Sur,Pohang,"{'location': {'type': 'Point', 'coordinates': (-164.02359501679086, 59.931543500000004)}}","{'location': {'type': 'Point', 'coordinates': (-164.02359501679086, 59.931543500000004)}}"
KPR, Estados Unidos,Port Williams,"{'location': {'type': 'Point', 'coordinates': (129.3429384, 36.0189315)}}","{'location': {'type': 'Point', 'coordinates': (129.3429384, 36.0189315)}}"
KPV, Estados Unidos,Perryville,"{'location': {'type': 'Point', 'coordinates': (-64.4100054, 45.0979991)}}","{'location': {'type': 'Point', 'coordinates': (-64.4100054, 45.0979991)}}"
KPW, Rusia,Keperveyem,"{'location': {'type': 'Point', 'coordinates': (-89.8645455, 37.7275127)}}","{'location': {'type': 'Point', 'coordinates': (-89.8645455, 37.7275127)}}"
KPY, Estados Unidos,Port Bailey,"{'location': {'type': 'Point', 'coordinates': (166.13784903814178, 67.8411215)}}","{'location': {'type': 'Point', 'coordinates': (166.13784903814178, 67.8411215)}}"
KQH, India,Kishangarh,"{'location': {'type': 'Point', 'coordinates': (138.50483407339175, -34.858845349999996)}}","{'location': {'type': 'Point', 'coordinates': (138.50483407339175, -34.858845349999996)}}"
KQT, Tayikistan,Qurghonteppa,"{'location': {'type': 'Point', 'coordinates': (74.861097, 26.5885585)}}","{'location': {'type': 'Point', 'coordinates': (74.861097, 26.5885585)}}"
KRF, Suecia,Kramfors / Solleftea,"{'location': {'type': 'Point', 'coordinates': (68.7820957, 37.8357217)}}","{'location': {'type': 'Point', 'coordinates': (68.7820957, 37.8357217)}}"
KRK, Polonia,Cracovia,"{'location': {'type': 'Point', 'coordinates': (17.7522366, 63.0812227)}}","{'location': {'type': 'Point', 'coordinates': (17.7522366, 63.0812227)}}"
KRL, China,Korla,"{'location': {'type': 'Point', 'coordinates': (19.9368564, 50.0619474)}}","{'location': {'type': 'Point', 'coordinates': (19.9368564, 50.0619474)}}"
KRN, Suecia,Kiruna,"{'location': {'type': 'Point', 'coordinates': (86.173541, 41.7238743)}}","{'location': {'type': 'Point', 'coordinates': (86.173541, 41.7238743)}}"
KRO, Rusia,Kurgan,"{'location': {'type': 'Point', 'coordinates': (20.2255482, 67.8550724)}}","{'location': {'type': 'Point', 'coordinates': (20.2255482, 67.8550724)}}"
KRP, Dinamarca,Karup,"{'location': {'type': 'Point', 'coordinates': (65.45906580229595, 55.51707765)}}","{'location': {'type': 'Point', 'coordinates': (65.45906580229595, 55.51707765)}}"
KRR, Rusia,Krasnodar,"{'location': {'type': 'Point', 'coordinates': (9.1706768, 56.3111225)}}","{'location': {'type': 'Point', 'coordinates': (9.1706768, 56.3111225)}}"
KRS, Noruega,Kristiansand,"{'location': {'type': 'Point', 'coordinates': (39.0261044, 45.7684014)}}","{'location': {'type': 'Point', 'coordinates': (39.0261044, 45.7684014)}}"
